Seed: 42, Sample size: 20, Non equivariance: 0, Noise: 0, Test Accuracy: 0.9000 (at epoch 18)
Seed: 101, Sample size: 20, Non equivariance: 0, Noise: 0, Test Accuracy: 1.0000 (at epoch 7)
Seed: 1234, Sample size: 20, Non equivariance: 0, Noise: 0, Test Accuracy: 1.0000 (at epoch 26)
Seed: 42, Sample size: 20, Non equivariance: 0, Noise: 0.01, Test Accuracy: 0.9000 (at epoch 17)
Seed: 101, Sample size: 20, Non equivariance: 0, Noise: 0.01, Test Accuracy: 1.0000 (at epoch 17)
Seed: 1234, Sample size: 20, Non equivariance: 0, Noise: 0.01, Test Accuracy: 0.9500 (at epoch 20)
Seed: 42, Sample size: 20, Non equivariance: 0, Noise: 0.02, Test Accuracy: 0.8500 (at epoch 16)
Seed: 101, Sample size: 20, Non equivariance: 0, Noise: 0.02, Test Accuracy: 0.9500 (at epoch 4)
Seed: 1234, Sample size: 20, Non equivariance: 0, Noise: 0.02, Test Accuracy: 0.9000 (at epoch 20)
Seed: 42, Sample size: 20, Non equivariance: 0, Noise: 0.03, Test Accuracy: 0.9000 (at epoch 17)
Seed: 101, Sample size: 20, Non equivariance: 0, Noise: 0.03, Test Accuracy: 0.9500 (at epoch 4)
Seed: 1234, Sample size: 20, Non equivariance: 0, Noise: 0.03, Test Accuracy: 0.9000 (at epoch 20)
Seed: 42, Sample size: 20, Non equivariance: 0, Noise: 0.04, Test Accuracy: 0.9000 (at epoch 17)
Seed: 101, Sample size: 20, Non equivariance: 0, Noise: 0.04, Test Accuracy: 0.9500 (at epoch 5)
Seed: 1234, Sample size: 20, Non equivariance: 0, Noise: 0.04, Test Accuracy: 0.9000 (at epoch 20)
Seed: 42, Sample size: 20, Non equivariance: 0, Noise: 0.05, Test Accuracy: 0.9000 (at epoch 18)
Seed: 101, Sample size: 20, Non equivariance: 0, Noise: 0.05, Test Accuracy: 0.9500 (at epoch 5)
Seed: 1234, Sample size: 20, Non equivariance: 0, Noise: 0.05, Test Accuracy: 0.9000 (at epoch 21)
Seed: 42, Sample size: 20, Non equivariance: 0, Noise: 0.06, Test Accuracy: 0.9000 (at epoch 19)
Seed: 101, Sample size: 20, Non equivariance: 0, Noise: 0.06, Test Accuracy: 0.9500 (at epoch 5)
Seed: 1234, Sample size: 20, Non equivariance: 0, Noise: 0.06, Test Accuracy: 0.9000 (at epoch 24)
Seed: 42, Sample size: 20, Non equivariance: 0, Noise: 0.07, Test Accuracy: 0.9000 (at epoch 20)
Seed: 101, Sample size: 20, Non equivariance: 0, Noise: 0.07, Test Accuracy: 0.9500 (at epoch 4)
Seed: 1234, Sample size: 20, Non equivariance: 0, Noise: 0.07, Test Accuracy: 0.7000 (at epoch 30)
Seed: 42, Sample size: 20, Non equivariance: 0, Noise: 0.08, Test Accuracy: 0.9000 (at epoch 20)
Seed: 101, Sample size: 20, Non equivariance: 0, Noise: 0.08, Test Accuracy: 0.9500 (at epoch 6)
Seed: 1234, Sample size: 20, Non equivariance: 0, Noise: 0.08, Test Accuracy: 0.6500 (at epoch 35)
Seed: 42, Sample size: 20, Non equivariance: 0, Noise: 0.09, Test Accuracy: 0.9000 (at epoch 22)
Seed: 101, Sample size: 20, Non equivariance: 0, Noise: 0.09, Test Accuracy: 0.9000 (at epoch 3)
Seed: 1234, Sample size: 20, Non equivariance: 0, Noise: 0.09, Test Accuracy: 0.6500 (at epoch 38)
Seed: 42, Sample size: 20, Non equivariance: 0, Noise: 0.1, Test Accuracy: 1.0000 (at epoch 33)
Seed: 101, Sample size: 20, Non equivariance: 0, Noise: 0.1, Test Accuracy: 0.9000 (at epoch 14)
Seed: 1234, Sample size: 20, Non equivariance: 0, Noise: 0.1, Test Accuracy: 0.6500 (at epoch 35)
